date,Close
2012-01-02,6075.52002
2012-01-03,6166.569824
2012-01-04,6111.549805
2012-01-05,6095.990234000001
2012-01-06,6057.919922
2012-01-07,6057.919922
2012-01-08,6057.919922
2012-01-09,6017.22998
2012-01-10,6162.97998
2012-01-11,6152.339844
2012-01-12,6179.209961
2012-01-13,6143.080078
2012-01-14,6143.080078
2012-01-15,6143.080078
2012-01-16,6220.009765999999
2012-01-17,6332.930176
2012-01-18,6354.569824
2012-01-19,6416.259765999999
2012-01-20,6404.390136999999
2012-01-21,6404.390136999999
2012-01-22,6404.390136999999
2012-01-23,6436.620117
2012-01-24,6419.220215
2012-01-25,6421.850098
2012-01-26,6539.850098
2012-01-27,6511.97998
2012-01-28,6511.97998
2012-01-29,6511.97998
2012-01-30,6444.450195
2012-01-31,6458.910156
2012-02-01,6616.640136999999
2012-02-02,6655.629883
2012-02-03,6766.669922
2012-02-04,6766.669922
2012-02-05,6766.669922
2012-02-06,6764.830078
2012-02-07,6754.200195
2012-02-08,6748.759765999999
2012-02-09,6788.799805
2012-02-10,6692.959961
2012-02-11,6692.959961
2012-02-12,6692.959961
2012-02-13,6738.470215
2012-02-14,6728.189941
2012-02-15,6757.939941
2012-02-16,6751.959961
2012-02-17,6848.029785
2012-02-18,6848.029785
2012-02-19,6848.029785
2012-02-20,6948.25
2012-02-21,6908.180176000001
2012-02-22,6843.870117
2012-02-23,6809.459961
2012-02-24,6864.430176000001
2012-02-25,6864.430176000001
2012-02-26,6864.430176000001
2012-02-27,6849.600098000001
2012-02-28,6887.629883
2012-02-29,6856.080078
2012-03-01,6941.77002
2012-03-02,6921.370117
2012-03-03,6921.370117
2012-03-04,6921.370117
2012-03-05,6866.459961
2012-03-06,6633.109863000001
2012-03-07,6671.109863000001
2012-03-08,6834.540039
2012-03-09,6880.209961
2012-03-10,6880.209961
2012-03-11,6880.209961
2012-03-12,6901.350098000001
2012-03-13,6995.910156
2012-03-14,7079.419922
2012-03-15,7144.450195
2012-03-16,7157.819823999999
2012-03-17,7157.819823999999
2012-03-18,7157.819823999999
2012-03-19,7154.220215
