Local time,Open,High,Low,Close,Volume
28.03.2012 00:00:00.000 GMT+0300,1.33149,1.33727,1.32772,1.33162,213875031616.211
29.03.2012 00:00:00.000 GMT+0300,1.33160,1.33449,1.32524,1.33014,206218600219.7268
30.03.2012 00:00:00.000 GMT+0300,1.33011,1.33748,1.32937,1.33405,201263911987.30493
01.04.2012 00:00:00.000 GMT+0300,1.33405,1.33405,1.33376,1.33376,0
02.04.2012 00:00:00.000 GMT+0300,1.33584,1.33803,1.32777,1.33197,196663551025.39093
03.04.2012 00:00:00.000 GMT+0300,1.33194,1.33671,1.32131,1.32325,213256358886.719
04.04.2012 00:00:00.000 GMT+0300,1.32325,1.32384,1.31073,1.31414,221674750488.28165
05.04.2012 00:00:00.000 GMT+0300,1.31414,1.31642,1.30353,1.30647,185441260986.32843
06.04.2012 00:00:00.000 GMT+0300,1.30646,1.31098,1.30503,1.30964,77262279052.7348
09.04.2012 00:00:00.000 GMT+0300,1.30985,1.31334,1.30337,1.31051,109564900695.80109
10.04.2012 00:00:00.000 GMT+0300,1.31048,1.31440,1.30538,1.30809,235285609619.14093
11.04.2012 00:00:00.000 GMT+0300,1.30808,1.31562,1.30660,1.31086,212133590576.1723
12.04.2012 00:00:00.000 GMT+0300,1.31086,1.32123,1.31020,1.31867,210136048706.0548
13.04.2012 00:00:00.000 GMT+0300,1.31867,1.32011,1.30692,1.30755,206738748901.3676
16.04.2012 00:00:00.000 GMT+0300,1.30632,1.31465,1.29958,1.31412,240528151123.047
17.04.2012 00:00:00.000 GMT+0300,1.31412,1.31692,1.30902,1.31259,209330669433.5939
18.04.2012 00:00:00.000 GMT+0300,1.31261,1.31403,1.30572,1.31223,225396270996.09412
19.04.2012 00:00:00.000 GMT+0300,1.31226,1.31608,1.30699,1.31367,235238682006.8361
20.04.2012 00:00:00.000 GMT+0300,1.31367,1.32263,1.31285,1.32159,218031909179.68784
23.04.2012 00:00:00.000 GMT+0300,1.31817,1.32101,1.31045,1.31559,209952039794.922
24.04.2012 00:00:00.000 GMT+0300,1.31559,1.32173,1.31447,1.31958,211164040649.41443
25.04.2012 00:00:00.000 GMT+0300,1.31958,1.32359,1.31736,1.32162,209504828491.211
26.04.2012 00:00:00.000 GMT+0300,1.32161,1.32625,1.31985,1.32209,187522248779.29724
27.04.2012 00:00:00.000 GMT+0300,1.32208,1.32698,1.31570,1.32535,232818062744.14093
30.04.2012 00:00:00.000 GMT+0300,1.32333,1.32663,1.32078,1.32384,190876909729.0042
01.05.2012 00:00:00.000 GMT+0300,1.32383,1.32828,1.32039,1.32362,144712780517.57867
02.05.2012 00:00:00.000 GMT+0300,1.32362,1.32412,1.31248,1.31578,203250531005.85974
03.05.2012 00:00:00.000 GMT+0300,1.31576,1.31791,1.30990,1.31499,187967782226.56284
04.05.2012 00:00:00.000 GMT+0300,1.31499,1.31780,1.30799,1.30824,187643151000.9768
07.05.2012 00:00:00.000 GMT+0300,1.30091,1.30642,1.29550,1.30500,224173720214.844
08.05.2012 00:00:00.000 GMT+0300,1.30499,1.30652,1.29823,1.30049,233349969970.70343
09.05.2012 00:00:00.000 GMT+0300,1.30048,1.30070,1.29107,1.29279,264252242553.7109
10.05.2012 00:00:00.000 GMT+0300,1.29279,1.29785,1.29236,1.29351,232205019531.25024
11.05.2012 00:00:00.000 GMT+0300,1.29349,1.29572,1.29045,1.29153,228106161132.8127
14.05.2012 00:00:00.000 GMT+0300,1.28976,1.29042,1.28210,1.28228,226784120605.469
15.05.2012 00:00:00.000 GMT+0300,1.28229,1.28686,1.27216,1.27285,246901841064.4531
16.05.2012 00:00:00.000 GMT+0300,1.27284,1.27585,1.26811,1.27153,280879980712.8908
17.05.2012 00:00:00.000 GMT+0300,1.27158,1.27489,1.26664,1.26972,260902429077.1484
18.05.2012 00:00:00.000 GMT+0300,1.26974,1.27936,1.26415,1.27826,267061259765.6252
21.05.2012 00:00:00.000 GMT+0300,1.27605,1.28236,1.27250,1.28169,244168139038.0862
22.05.2012 00:00:00.000 GMT+0300,1.28168,1.28190,1.26578,1.26830,256598880371.0939
23.05.2012 00:00:00.000 GMT+0300,1.26830,1.26877,1.25448,1.25816,295589057861.3282
24.05.2012 00:00:00.000 GMT+0300,1.25817,1.26188,1.25154,1.25317,287631459228.5158
25.05.2012 00:00:00.000 GMT+0300,1.25315,1.26017,1.24984,1.25151,249496709960.9377
28.05.2012 00:00:00.000 GMT+0300,1.25726,1.26240,1.25245,1.25403,176882149047.85184
29.05.2012 00:00:00.000 GMT+0300,1.25401,1.25741,1.24606,1.25016,259715337280.2737
30.05.2012 00:00:00.000 GMT+0300,1.25011,1.25050,1.23613,1.23659,273155567626.9533
31.05.2012 00:00:00.000 GMT+0300,1.23658,1.24281,1.23363,1.23648,272293518432.6174
01.06.2012 00:00:00.000 GMT+0300,1.23648,1.24481,1.22913,1.24328,285624683105.469
04.06.2012 00:00:00.000 GMT+0300,1.24128,1.25079,1.23856,1.24993,227475356933.594
05.06.2012 00:00:00.000 GMT+0300,1.24992,1.25417,1.24098,1.24517,251149260742.1876
06.06.2012 00:00:00.000 GMT+0300,1.24518,1.25851,1.24405,1.25811,270668334594.7268
07.06.2012 00:00:00.000 GMT+0300,1.25811,1.26249,1.25398,1.25599,262609997802.73462
08.06.2012 00:00:00.000 GMT+0300,1.25599,1.25742,1.24353,1.25159,247597960205.07843
11.06.2012 00:00:00.000 GMT+0300,1.26385,1.26676,1.24800,1.24825,264230379882.8128
12.06.2012 00:00:00.000 GMT+0300,1.24822,1.25287,1.24425,1.25030,276888048828.1253
13.06.2012 00:00:00.000 GMT+0300,1.25026,1.26098,1.24735,1.25566,267773913330.07843
14.06.2012 00:00:00.000 GMT+0300,1.25562,1.26362,1.25415,1.26316,257548888916.0157
15.06.2012 00:00:00.000 GMT+0300,1.26318,1.26642,1.25920,1.26381,224654860351.56262
18.06.2012 00:00:00.000 GMT+0300,1.26918,1.27474,1.25592,1.25760,274321601806.6409
19.06.2012 00:00:00.000 GMT+0300,1.25760,1.27302,1.25687,1.26846,257978739624.0235
20.06.2012 00:00:00.000 GMT+0300,1.26844,1.27408,1.26383,1.27068,255868637451.17212
21.06.2012 00:00:00.000 GMT+0300,1.27059,1.27071,1.25313,1.25396,265327770996.094
22.06.2012 00:00:00.000 GMT+0300,1.25397,1.25830,1.25188,1.25669,222259380615.23462
25.06.2012 00:00:00.000 GMT+0300,1.25432,1.25577,1.24709,1.25030,205845518188.47684
