date,Close
01/02/2012,6075.52002
01/03/2012,6166.569824
01/04/2012,6111.549805
01/05/2012,6095.990234
01/06/2012,6057.919922
01/09/2012,6017.22998
01/10/2012,6162.97998
01/11/2012,6152.339844
01/12/2012,6179.209961
01/13/2012,6143.080078
01/16/2012,6220.009766
01/17/2012,6332.930176
01/18/2012,6354.569824
01/19/2012,6416.259766
01/20/2012,6404.390137
01/23/2012,6436.620117
01/24/2012,6419.220215
01/25/2012,6421.850098
01/26/2012,6539.850098
01/27/2012,6511.97998
01/30/2012,6444.450195
01/31/2012,6458.910156
02/01/2012,6616.640137
02/02/2012,6655.629883
02/03/2012,6766.669922
02/06/2012,6764.830078
02/07/2012,6754.200195
02/08/2012,6748.759766
02/09/2012,6788.799805
02/10/2012,6692.959961
02/13/2012,6738.470215
02/14/2012,6728.189941
02/15/2012,6757.939941
02/16/2012,6751.959961
02/17/2012,6848.029785
02/20/2012,6948.25
02/21/2012,6908.180176
02/22/2012,6843.870117
02/23/2012,6809.459961
02/24/2012,6864.430176
02/27/2012,6849.600098
02/28/2012,6887.629883
02/29/2012,6856.080078
03/01/2012,6941.77002
03/02/2012,6921.370117
03/05/2012,6866.459961
03/06/2012,6633.109863
03/07/2012,6671.109863
03/08/2012,6834.540039
03/09/2012,6880.209961
03/12/2012,6901.350098
03/13/2012,6995.910156
03/14/2012,7079.419922
03/15/2012,7144.450195
03/16/2012,7157.819824
03/19/2012,7154.220215
03/20/2012,7054.939941
03/21/2012,7071.319824
03/22/2012,6981.259766
03/23/2012,6995.620117
03/26/2012,7079.22998
03/27/2012,7078.899902
03/28/2012,6998.799805
03/29/2012,6875.149902
03/30/2012,6946.830078
04/02/2012,7056.649902
04/03/2012,6982.279785
04/04/2012,6784.060059
04/05/2012,6775.259766
04/10/2012,6606.430176
04/11/2012,6674.72998
04/12/2012,6743.240234
04/13/2012,6583.899902
04/16/2012,6625.189941
04/17/2012,6801
04/18/2012,6732.029785
04/19/2012,6671.220215
04/20/2012,6750.120117
04/23/2012,6523
04/24/2012,6590.410156
04/25/2012,6704.5
04/26/2012,6739.899902
04/27/2012,6801.319824
04/30/2012,6761.189941
05/02/2012,6710.77002
05/03/2012,6694.439941
05/04/2012,6561.470215
05/07/2012,6569.47998
05/08/2012,6444.740234
05/09/2012,6475.310059
05/10/2012,6518
05/11/2012,6579.930176
05/14/2012,6451.970215
