Local time,Open,High,Low,Close,Volume
,,,,,
01.01.2012 00:00:00.000 GMT+0200,1.29578,1.29578,1.29484,1.29484,0
02.01.2012 00:00:00.000 GMT+0200,1.29368,1.29639,1.29173,1.29335,60531689758
03.01.2012 00:00:00.000 GMT+0200,1.29335,1.30758,1.2931,1.30491,2.58225E+11
04.01.2012 00:00:00.000 GMT+0200,1.30491,1.30726,1.28994,1.29425,2.70981E+11
05.01.2012 00:00:00.000 GMT+0200,1.29423,1.29448,1.27723,1.27879,3.10176E+11
06.01.2012 00:00:00.000 GMT+0200,1.27879,1.28121,1.26978,1.27186,2.72666E+11
07.01.2012 00:00:00.000 GMT+0200,1.27186,1.27186,1.27186,1.27186,0
08.01.2012 00:00:00.000 GMT+0200,1.27186,1.27186,1.27186,1.27186,0
09.01.2012 00:00:00.000 GMT+0200,1.26911,1.2785,1.26666,1.27647,2.79623E+11
10.01.2012 00:00:00.000 GMT+0200,1.27647,1.28172,1.27427,1.27771,2.91749E+11
11.01.2012 00:00:00.000 GMT+0200,1.27769,1.27893,1.26654,1.27062,3.00566E+11
12.01.2012 00:00:00.000 GMT+0200,1.27062,1.28442,1.26992,1.28144,3.40753E+11
13.01.2012 00:00:00.000 GMT+0200,1.28144,1.28778,1.26287,1.26772,3.21673E+11
14.01.2012 00:00:00.000 GMT+0200,1.26772,1.26772,1.26772,1.26772,0
15.01.2012 00:00:00.000 GMT+0200,1.26772,1.26772,1.26772,1.26772,0
16.01.2012 00:00:00.000 GMT+0200,1.26311,1.26873,1.26262,1.26664,2.30177E+11
17.01.2012 00:00:00.000 GMT+0200,1.26664,1.28042,1.26482,1.2736,2.85743E+11
18.01.2012 00:00:00.000 GMT+0200,1.27361,1.28676,1.27336,1.28627,2.92072E+11
19.01.2012 00:00:00.000 GMT+0200,1.28634,1.29708,1.28388,1.29681,2.77606E+11
20.01.2012 00:00:00.000 GMT+0200,1.29675,1.29855,1.28894,1.29308,2.41373E+11
21.01.2012 00:00:00.000 GMT+0200,1.29308,1.29308,1.29308,1.29308,0
22.01.2012 00:00:00.000 GMT+0200,1.29308,1.29308,1.29308,1.29308,0
23.01.2012 00:00:00.000 GMT+0200,1.28761,1.30523,1.28758,1.30122,2.21072E+11
24.01.2012 00:00:00.000 GMT+0200,1.30132,1.30592,1.2953,1.30353,2.4109E+11
25.01.2012 00:00:00.000 GMT+0200,1.30355,1.31202,1.29307,1.31057,2.58102E+11
26.01.2012 00:00:00.000 GMT+0200,1.31059,1.31795,1.309,1.3108,2.63854E+11
27.01.2012 00:00:00.000 GMT+0200,1.31079,1.32304,1.30774,1.32158,2.69356E+11
28.01.2012 00:00:00.000 GMT+0200,1.32158,1.32158,1.32158,1.32158,0
29.01.2012 00:00:00.000 GMT+0200,1.32158,1.32158,1.32158,1.32158,0
30.01.2012 00:00:00.000 GMT+0200,1.32192,1.32254,1.30791,1.31429,2.79137E+11
31.01.2012 00:00:00.000 GMT+0200,1.3143,1.32123,1.30431,1.30831,2.94323E+11
01.02.2012 00:00:00.000 GMT+0200,1.3083,1.32174,1.3026,1.31602,2.91732E+11
02.02.2012 00:00:00.000 GMT+0200,1.31602,1.31966,1.30864,1.31433,2.65965E+11
03.02.2012 00:00:00.000 GMT+0200,1.31435,1.31913,1.3068,1.31563,2.62545E+11
04.02.2012 00:00:00.000 GMT+0200,1.31563,1.31563,1.31563,1.31563,0
05.02.2012 00:00:00.000 GMT+0200,1.31563,1.31563,1.31563,1.31563,0
06.02.2012 00:00:00.000 GMT+0200,1.3111,1.31411,1.30277,1.31296,2.52017E+11
07.02.2012 00:00:00.000 GMT+0200,1.313,1.32692,1.30889,1.32601,2.7272E+11
08.02.2012 00:00:00.000 GMT+0200,1.32602,1.32859,1.32228,1.32597,2.61516E+11
09.02.2012 00:00:00.000 GMT+0200,1.32598,1.33193,1.32183,1.32853,2.60714E+11
10.02.2012 00:00:00.000 GMT+0200,1.32853,1.329,1.31561,1.31961,2.23434E+11
11.02.2012 00:00:00.000 GMT+0200,1.31961,1.31961,1.31961,1.31961,0
12.02.2012 00:00:00.000 GMT+0200,1.31961,1.31961,1.31961,1.31961,0
13.02.2012 00:00:00.000 GMT+0200,1.32042,1.32826,1.31858,1.3186,2.29233E+11
