date,value
12/09/2013,1808.37
13/09/2013,1687.99
14/09/2013,1697.6
15/09/2013,1697.6
16/09/2013,1697.6
17/09/2013,1704.76
18/09/2013,1725.52
19/09/2013,1722.34
20/09/2013,1709.91
21/09/2013,1701.84
22/09/2013,1701.84
23/09/2013,1701.84
24/09/2013,1697.42
25/09/2013,1692.77
26/09/2013,1698.67
27/09/2013,1691.75
28/09/2013,1681.55
29/09/2013,1681.55
30/09/2013,1681.55
01/10/2013,1472.12
02/10/2013,1587.73
03/10/2013,1587.73
04/10/2013,1587.73
05/10/2013,1633.7
06/10/2013,1642.81
07/10/2013,1652.62
08/10/2013,1683.99
09/10/2013,1683.99
10/10/2013,1692.56
11/10/2013,1802.62
12/10/2013,1802.62
13/10/2013,1710.14
14/10/2013,1710.14
15/10/2013,1698.06
16/10/2013,1721.54
17/10/2013,1733.15
18/10/2013,1744.5
19/10/2013,1744.66
20/10/2013,1744.66
21/10/2013,1744.66
22/10/2013,1754.67
23/10/2013,1746.38
24/10/2013,1752.07
25/10/2013,1759.77
26/10/2013,1762.11
27/10/2013,1762.11
28/10/2013,1762.11
29/10/2013,1771.95
30/10/2013,1763.31
31/10/2013,1756.54
01/11/2013,1472.05
02/11/2013,1517.01
03/11/2013,1556.22
04/11/2013,1593.37
05/11/2013,1626.13
06/11/2013,1626.13
07/11/2013,1675.02
08/11/2013,1689.13
09/11/2013,1689.13
10/11/2013,1703.2
11/11/2013,1771.89
12/11/2013,1782.22
13/11/2013,1782
14/11/2013,1790.62
15/11/2013,1798.18
16/11/2013,1791.53
17/11/2013,1791.53
18/11/2013,1791.53
19/11/2013,1787.87
20/11/2013,1781.37
21/11/2013,1795.85
22/11/2013,1804.76
23/11/2013,1802.48
24/11/2013,1802.48
25/11/2013,1802.48
26/11/2013,1802.75
27/11/2013,1807.23
28/11/2013,1807.23
29/11/2013,1805.81
30/11/2013,1519.43
01/12/2013,1519.43
02/12/2013,1519.43
03/12/2013,1552.48
04/12/2013,1588.85
05/12/2013,1612.52
06/12/2013,1612.52
07/12/2013,1680.19
08/12/2013,1689.47
09/12/2013,1683.42
10/12/2013,1767.69
11/12/2013,1767.69
12/12/2013,1775.5
13/12/2013,1775.32
14/12/2013,1786.54
15/12/2013,1786.54
16/12/2013,1786.54
17/12/2013,1781
18/12/2013,1810.65
19/12/2013,1809.6
20/12/2013,1818.32
21/12/2013,1827.99
22/12/2013,1827.99
23/12/2013,1827.99
24/12/2013,1833.32
25/12/2013,1833.32
26/12/2013,1842.02
27/12/2013,1841.4
28/12/2013,1841.07
29/12/2013,1841.07
30/12/2013,1841.07
31/12/2013,1848.36
01/01/2014,1848.36
02/01/2014,1885.52
03/01/2014,1885.52
04/01/2014,1885.52
05/01/2014,1883.68
06/01/2014,1973.32
07/01/2014,1973.32
08/01/2014,1925.15
09/01/2014,2003.37
10/01/2014,1946.16
11/01/2014,2053.44
12/01/2014,2053.44
13/01/2014,1819.2
14/01/2014,1838.88
15/01/2014,1848.38
16/01/2014,1845.89
17/01/2014,1838.7
18/01/2014,1838.7
19/01/2014,1838.7
20/01/2014,1838.7
21/01/2014,1843.8
22/01/2014,1844.86
23/01/2014,1828.46
24/01/2014,1790.29
25/01/2014,1781.56
26/01/2014,1781.56
27/01/2014,1781.56
28/01/2014,1792.5
29/01/2014,1774.2
30/01/2014,1794.19
31/01/2014,1782.59
01/02/2014,1831.98
02/02/2014,1890.9
03/02/2014,1890.9
04/02/2014,1890.9
05/02/2014,1881.14
06/02/2014,1924.97
07/02/2014,1974.62
08/02/2014,2002.28
09/02/2014,2002.28
10/02/2014,1946.17
11/02/2014,2066.55
12/02/2014,2066.55
13/02/2014,1829.83
14/02/2014,1838.63
15/02/2014,1838.63
16/02/2014,1838.63
17/02/2014,1838.63
18/02/2014,1840.76
19/02/2014,1828.75
20/02/2014,1839.78
21/02/2014,1836.25
22/02/2014,1847.61
23/02/2014,1847.61
24/02/2014,1847.61
25/02/2014,1845.12
26/02/2014,1845.16
27/02/2014,1854.29
28/02/2014,1859.45
01/03/2014,1831.37
02/03/2014,1741.89
03/03/2014,1845.73
04/03/2014,1888.77
05/03/2014,1924.24
06/03/2014,1924.24
07/03/2014,1985.44
08/03/2014,2000.72
09/03/2014,2000.72
10/03/2014,1967.9
11/03/2014,2017.81
12/03/2014,2074.33
13/03/2014,1846.34
14/03/2014,1841.13
15/03/2014,1858.83
16/03/2014,1858.83
17/03/2014,1858.83
18/03/2014,1872.25
19/03/2014,1860.77
20/03/2014,1872.01
21/03/2014,1866.52
22/03/2014,1857.44
23/03/2014,1857.44
24/03/2014,1857.44
25/03/2014,1865.62
26/03/2014,1852.56
27/03/2014,1849.04
28/03/2014,1857.62
29/03/2014,1872.34
30/03/2014,1872.34
31/03/2014,1872.34
01/04/2014,1755.2
02/04/2014,1755.2
03/04/2014,1873.91
04/04/2014,1865.09
05/04/2014,1927.88
06/04/2014,1927.88
07/04/2014,1985.44
08/04/2014,1938.99
09/04/2014,1997.65
10/04/2014,2012.1
11/04/2014,2012.1
12/04/2014,2071.92
13/04/2014,1830.61
14/04/2014,1830.61
15/04/2014,1842.98
16/04/2014,1862.31
17/04/2014,1864.85
18/04/2014,1864.85
19/04/2014,1871.89
20/04/2014,1871.89
21/04/2014,1871.89
22/04/2014,1879.55
23/04/2014,1875.39
24/04/2014,1878.61
25/04/2014,1863.4
26/04/2014,1869.43
27/04/2014,1869.43
