,Close,MA10,MACD,ROC,Momentum,RSI,BOLU,BOLD,CCI
0,1.29484,,0.0,,,,,,
1,1.29335,,-0.00011886039886022104,-0.00115072132464242,,0.0,,,
2,1.30491,,0.000711535133643526,0.008938029149108915,,89.60545694132244,,,
3,1.29425,,0.0005036508912048543,-0.008169145764842107,-0.0005900000000000905,46.71566932634046,,,
4,1.27879,,-0.0008982373430843626,-0.011945141974116136,-0.014559999999999906,26.37350751933394,,,
5,1.27186,,-0.002539167015611632,-0.00541918532362632,-0.033050000000000024,21.673088553995598,,,
6,1.27647,,-0.003428110012428265,0.00362461277184596,-0.017779999999999907,30.790277716376437,,,
7,1.27771,,-0.003986591163638975,0.0009714290190916417,-0.001080000000000192,33.11699694353729,,,
8,1.27062,,-0.004944300428392001,-0.005548989989903671,-0.0012399999999999078,27.288699012656778,,,
9,1.28144,1.284424,-0.004775163237775049,0.008515527852544292,0.004969999999999919,44.00020975316796,,,
10,1.26772,1.281712,-0.005682703464639172,-0.010706704956923427,-0.009989999999999943,33.23740901721834,,,
11,1.26664,1.2790409999999999,-0.006415132947628077,-0.0008519231376013394,-0.003980000000000095,32.541213171467476,,,
12,1.2736,1.27591,-0.006360653107261749,0.005494852523211076,-0.007839999999999847,41.339409891510485,,,
13,1.28627,1.275112,-0.005234771145638417,0.009948178391959767,0.018550000000000066,53.58407735261958,,,
14,1.29681,1.276914,-0.0034522166612254157,0.008194236046864183,0.03017000000000003,61.09114754194778,,,
15,1.29308,1.279036,-0.0023138367470985077,-0.002876288739291038,0.019479999999999942,57.43830607889008,,,
16,1.30122,1.281511,-0.0007462304127017205,0.006295047483527729,0.014950000000000019,62.82775538027623,,,
17,1.30353,1.284093,0.0006747287428821025,0.0017752570664453622,0.006720000000000059,64.25496030595508,,,
18,1.31057,1.2880880000000001,0.0023419220557425735,0.005400719584512773,0.017490000000000006,68.36757653679663,,,
19,1.3108,1.2910240000000002,0.0036397866506534537,0.00017549615816015357,0.009579999999999922,68.49914065837946,1.3134217563715265,1.2611329102951403,142.09669268347358
20,1.32158,1.29641,0.005475096100789667,0.008223985352456524,0.0180499999999999,74.10741054750532,1.3175174063117825,1.2592672603548838,149.17229166131978
21,1.31429,1.301175,0.00626908389105818,-0.005516124638690067,0.0037199999999999456,65.36345818127896,1.3207293449172839,1.2581643217493828,120.90489359429365
22,1.30831,1.304646,0.006342674508606816,-0.004549985163091764,-0.002489999999999881,59.016696556174566,1.322201588056104,1.2576340786105629,98.14306549225384
23,1.31602,1.307621,0.006943092519408722,0.0058930987304231285,-0.005560000000000009,64.02133689630388,1.3244954930556578,1.256970506944342,98.8162806712339
24,1.31433,1.3093730000000001,0.00719956711454528,-0.00128417501253778,4.0000000000040004e-05,62.17227070868574,1.327343356298114,1.257193643701886,91.49735357619086
25,1.31563,1.3116280000000002,0.007422166103731476,0.0009890971065106015,0.007319999999999993,63.08357106467039,1.3295042752397763,1.2589897247602235,81.64542905527352
26,1.31296,1.312802,0.00729899247869259,-0.002029445968851556,-0.0030600000000000627,59.796189059934555,1.3306390937702017,1.2614619062297987,59.402653409237345
27,1.32601,1.3150499999999998,0.00816033516587078,0.009939373629051918,0.011679999999999913,68.66428293043033,1.3332977281760283,1.2630739384906384,96.39482287608038
28,1.32597,1.31659,0.008738990146812231,-3.016568502486253e-05,0.010340000000000016,68.61273932564362,1.3357614389459893,1.265968561054011,109.74383988884357
29,1.32853,1.3183630000000002,0.009296979204281186,0.0019306620813441446,0.015570000000000084,70.20329753742294,1.338461430028187,1.26815223663848,109.48801856634127
30,1.31961,1.3181660000000002,0.008916634685725233,-0.006714187861772063,-0.006399999999999961,58.68904886188088,1.3387751489557278,1.2727001843776056,78.01266604265801
31,1.3186,1.318597,0.008436460094996434,-0.0007653776494570027,-0.007370000000000099,57.50251819653022,1.33674438610655,1.28031261389345,77.89669445515402
32,1.31303,1.319069,0.007519782451605117,-0.004224177157591442,-0.01550000000000007,51.164130426644824,1.333663339581798,1.287518660418202,26.37639706267813
33,1.30652,1.3181189999999998,0.006196575950923933,-0.004957997913223625,-0.013090000000000046,44.75735323190402,1.331026949006867,1.2929407176597993,-18.059034339744894
34,1.31298,1.3179839999999998,0.005604587086277535,0.004944432538346243,-0.005619999999999958,51.459138703973785,1.3297296921391755,1.2958456411941575,-42.73632795283356
35,1.31425,1.3178459999999999,0.0051782187497448895,0.0009672653048788879,0.0012199999999999989,52.71226051979411,1.3283335162833623,1.2994031503833041,15.630455768481408
36,1.32416,1.318966,0.005575699753888941,0.007540422294084144,0.0176400000000001,61.360777065366335,1.3281408845932126,1.302099782073454,102.55514888150539
37,1.32329,1.318694,0.005754174047689631,-0.0006570202996616167,0.010310000000000041,60.28528435932338,1.328181293974317,1.3042760393590165,97.75455652166283
38,1.32493,1.31859,0.005959255912659778,0.001239335293095137,0.010680000000000023,61.691630957660706,1.3284679935214425,1.3058806731452244,91.52785358699906
39,1.33707,1.319444,0.0070204538876343925,0.009162748220660745,0.012909999999999977,70.33245018178746,1.3311166194255728,1.3052417139077606,169.98559112999826
40,1.34461,1.3219439999999998,0.008373353111473358,0.005639196152781905,0.021320000000000006,74.32843437899973,1.3362922688129577,1.3026160645203755,227.3911185298073
41,1.33966,1.32405,0.008943022268481648,-0.0036813648567242617,0.014730000000000132,67.67896299988212,1.3399722871414963,1.3015817128585039,179.6240568712116
42,1.34606,1.327353,0.009797970784445331,0.004777331561739517,0.008990000000000054,71.35975390331771,1.3435818887556144,1.3012487779110522,173.16322229158985
