datetime,symbol,open,high,low,close,volume
2022-12-11 17:03:00,OANDA:EURUSD,1.05336,1.05336,1.05327,1.05328,3.0
2022-12-11 17:04:00,OANDA:EURUSD,1.05328,1.05338,1.05328,1.05338,1.0
2022-12-11 17:05:00,OANDA:EURUSD,1.05338,1.05344,1.05318,1.05332,5.0
2022-12-11 17:12:00,OANDA:EURUSD,1.05332,1.05338,1.05332,1.05338,4.0
2022-12-11 17:13:00,OANDA:EURUSD,1.05338,1.05348,1.05338,1.05348,9.0
2022-12-11 17:14:00,OANDA:EURUSD,1.05348,1.05398,1.05328,1.05332,23.0
2022-12-11 17:15:00,OANDA:EURUSD,1.05332,1.05335,1.05327,1.05335,5.0
2022-12-11 17:17:00,OANDA:EURUSD,1.05335,1.05342,1.05335,1.05342,1.0
2022-12-11 17:18:00,OANDA:EURUSD,1.05342,1.05342,1.0533,1.05333,6.0
2022-12-11 17:19:00,OANDA:EURUSD,1.05333,1.05333,1.05333,1.05333,1.0
2022-12-11 17:20:00,OANDA:EURUSD,1.05333,1.05333,1.0533,1.05332,10.0
2022-12-11 17:21:00,OANDA:EURUSD,1.05332,1.05334,1.05332,1.05334,17.0
2022-12-11 17:22:00,OANDA:EURUSD,1.05334,1.05335,1.05334,1.05335,2.0
2022-12-11 17:23:00,OANDA:EURUSD,1.05335,1.05352,1.05335,1.05352,9.0
2022-12-11 17:24:00,OANDA:EURUSD,1.05352,1.0536,1.05352,1.05354,5.0
2022-12-11 17:25:00,OANDA:EURUSD,1.05354,1.05358,1.05353,1.05353,3.0
2022-12-11 17:26:00,OANDA:EURUSD,1.05353,1.05358,1.05352,1.05352,3.0
2022-12-11 17:27:00,OANDA:EURUSD,1.05352,1.05355,1.05352,1.05355,1.0
2022-12-11 17:28:00,OANDA:EURUSD,1.05355,1.05355,1.05355,1.05355,2.0
2022-12-11 17:29:00,OANDA:EURUSD,1.05355,1.05355,1.05354,1.05354,1.0
2022-12-11 17:30:00,OANDA:EURUSD,1.05354,1.0538,1.05336,1.05352,135.0
2022-12-11 17:31:00,OANDA:EURUSD,1.05352,1.05366,1.05331,1.05332,44.0
2022-12-11 17:32:00,OANDA:EURUSD,1.05332,1.05332,1.0533,1.0533,3.0
2022-12-11 17:34:00,OANDA:EURUSD,1.0533,1.05336,1.0533,1.05332,5.0
2022-12-11 17:35:00,OANDA:EURUSD,1.05332,1.05332,1.05328,1.05328,1.0
2022-12-11 17:36:00,OANDA:EURUSD,1.05328,1.0533,1.05328,1.0533,1.0
2022-12-11 17:37:00,OANDA:EURUSD,1.0533,1.0533,1.05329,1.0533,2.0
2022-12-11 17:38:00,OANDA:EURUSD,1.0533,1.05332,1.0533,1.05332,2.0
2022-12-11 17:39:00,OANDA:EURUSD,1.05332,1.05338,1.05332,1.05336,2.0
2022-12-11 17:40:00,OANDA:EURUSD,1.05336,1.05338,1.05336,1.05336,53.0
2022-12-11 17:41:00,OANDA:EURUSD,1.05336,1.05337,1.05336,1.05336,24.0
2022-12-11 17:42:00,OANDA:EURUSD,1.05336,1.05336,1.05336,1.05336,9.0
2022-12-11 17:43:00,OANDA:EURUSD,1.05336,1.05338,1.05336,1.05336,14.0
2022-12-11 17:44:00,OANDA:EURUSD,1.05336,1.05336,1.05333,1.05334,8.0
2022-12-11 17:45:00,OANDA:EURUSD,1.05334,1.05346,1.05334,1.05343,8.0
2022-12-11 17:46:00,OANDA:EURUSD,1.05343,1.05343,1.05333,1.05341,11.0
2022-12-11 17:47:00,OANDA:EURUSD,1.05341,1.05341,1.05332,1.05332,4.0
2022-12-11 17:48:00,OANDA:EURUSD,1.05332,1.0534,1.0533,1.0534,13.0
2022-12-11 17:49:00,OANDA:EURUSD,1.0534,1.0534,1.05332,1.05332,5.0
2022-12-11 17:50:00,OANDA:EURUSD,1.05332,1.05332,1.05332,1.05332,1.0
2022-12-11 17:51:00,OANDA:EURUSD,1.05332,1.05338,1.05331,1.05332,8.0
2022-12-11 17:52:00,OANDA:EURUSD,1.05332,1.05332,1.0533,1.0533,1.0
2022-12-11 17:53:00,OANDA:EURUSD,1.0533,1.05332,1.0533,1.05332,3.0
2022-12-11 17:54:00,OANDA:EURUSD,1.05332,1.05332,1.05332,1.05332,2.0
2022-12-11 17:55:00,OANDA:EURUSD,1.05332,1.05334,1.05332,1.05334,2.0
2022-12-11 17:56:00,OANDA:EURUSD,1.05334,1.05334,1.05332,1.05332,2.0
2022-12-11 17:57:00,OANDA:EURUSD,1.05332,1.05332,1.05332,1.05332,1.0
2022-12-11 17:58:00,OANDA:EURUSD,1.05332,1.05385,1.05332,1.0537,63.0
2022-12-11 17:59:00,OANDA:EURUSD,1.0537,1.0537,1.05339,1.05342,132.0
2022-12-11 18:00:00,OANDA:EURUSD,1.05342,1.05368,1.05342,1.05357,68.0
2022-12-11 18:01:00,OANDA:EURUSD,1.05357,1.05357,1.05328,1.05336,92.0
2022-12-11 18:02:00,OANDA:EURUSD,1.05336,1.05344,1.05323,1.05324,55.0
2022-12-11 18:03:00,OANDA:EURUSD,1.05324,1.05326,1.05316,1.05319,56.0
2022-12-11 18:04:00,OANDA:EURUSD,1.05319,1.0532,1.05305,1.05305,35.0
2022-12-11 18:05:00,OANDA:EURUSD,1.05305,1.05308,1.053,1.05308,24.0
2022-12-11 18:06:00,OANDA:EURUSD,1.05308,1.05312,1.053,1.05308,25.0
2022-12-11 18:07:00,OANDA:EURUSD,1.05308,1.05308,1.05281,1.05282,45.0
2022-12-11 18:08:00,OANDA:EURUSD,1.05282,1.05282,1.05272,1.05275,25.0
2022-12-11 18:09:00,OANDA:EURUSD,1.05275,1.05278,1.05274,1.05277,19.0
2022-12-11 18:10:00,OANDA:EURUSD,1.05277,1.05277,1.0525,1.05252,55.0
2022-12-11 18:11:00,OANDA:EURUSD,1.05252,1.05262,1.05252,1.05262,52.0
2022-12-11 18:12:00,OANDA:EURUSD,1.05262,1.05272,1.05257,1.05262,32.0
2022-12-11 18:13:00,OANDA:EURUSD,1.05262,1.05262,1.05252,1.05256,68.0
2022-12-11 18:14:00,OANDA:EURUSD,1.05256,1.05268,1.05255,1.05264,25.0
2022-12-11 18:15:00,OANDA:EURUSD,1.05264,1.05272,1.05259,1.05262,33.0
2022-12-11 18:16:00,OANDA:EURUSD,1.05262,1.05268,1.05254,1.05259,32.0
2022-12-11 18:17:00,OANDA:EURUSD,1.05259,1.05279,1.05259,1.05268,36.0
2022-12-11 18:18:00,OANDA:EURUSD,1.05268,1.05282,1.05265,1.05281,26.0
2022-12-11 18:19:00,OANDA:EURUSD,1.05281,1.05281,1.05258,1.0527,40.0
2022-12-11 18:20:00,OANDA:EURUSD,1.0527,1.05273,1.05264,1.05269,28.0
2022-12-11 18:21:00,OANDA:EURUSD,1.05269,1.05272,1.05262,1.05264,29.0
2022-12-11 18:22:00,OANDA:EURUSD,1.05264,1.05264,1.05259,1.05263,15.0
2022-12-11 18:23:00,OANDA:EURUSD,1.05263,1.05267,1.05258,1.05267,22.0
2022-12-11 18:24:00,OANDA:EURUSD,1.05267,1.05271,1.05263,1.05269,22.0
2022-12-11 18:25:00,OANDA:EURUSD,1.05269,1.05272,1.05268,1.05268,12.0
2022-12-11 18:26:00,OANDA:EURUSD,1.05268,1.05268,1.05265,1.05266,31.0
2022-12-11 18:27:00,OANDA:EURUSD,1.05266,1.0527,1.05263,1.05269,20.0
2022-12-11 18:28:00,OANDA:EURUSD,1.05269,1.05278,1.05267,1.05268,32.0
2022-12-11 18:29:00,OANDA:EURUSD,1.05268,1.05268,1.05258,1.05264,47.0
2022-12-11 18:30:00,OANDA:EURUSD,1.05264,1.05271,1.0526,1.05266,54.0
2022-12-11 18:31:00,OANDA:EURUSD,1.05266,1.0527,1.0526,1.05262,40.0
2022-12-11 18:32:00,OANDA:EURUSD,1.05262,1.05263,1.05257,1.0526,30.0
2022-12-11 18:33:00,OANDA:EURUSD,1.0526,1.05264,1.05256,1.0526,54.0
2022-12-11 18:34:00,OANDA:EURUSD,1.0526,1.05262,1.05256,1.05256,18.0
2022-12-11 18:35:00,OANDA:EURUSD,1.05256,1.05258,1.05252,1.05254,14.0
2022-12-11 18:36:00,OANDA:EURUSD,1.05254,1.05257,1.05252,1.05256,17.0
2022-12-11 18:37:00,OANDA:EURUSD,1.05256,1.05256,1.05252,1.05252,28.0
2022-12-11 18:38:00,OANDA:EURUSD,1.05252,1.05252,1.05215,1.05216,61.0
2022-12-11 18:39:00,OANDA:EURUSD,1.05216,1.05235,1.05216,1.05231,36.0
