Local time,Open,High,Low,Close,Volume
31.03.2013 17:00:00.000 GMT-0400,1.28029,1.28666,1.27713,1.28481,104648.00020000001
01.04.2013 17:00:00.000 GMT-0400,1.28481,1.28777,1.28096,1.28187,215136.35210000002
02.04.2013 17:00:00.000 GMT-0400,1.28186,1.28639,1.27898,1.28482,209938.63019999996
03.04.2013 17:00:00.000 GMT-0400,1.28481,1.29487,1.27468,1.29360,270020.9093
04.04.2013 17:00:00.000 GMT-0400,1.29360,1.30389,1.29006,1.29943,261800.50850000003
07.04.2013 17:00:00.000 GMT-0400,1.29732,1.30365,1.29685,1.30082,214035.91030000002
08.04.2013 17:00:00.000 GMT-0400,1.30081,1.31025,1.30056,1.30822,243418.4216
09.04.2013 17:00:00.000 GMT-0400,1.30822,1.31217,1.30523,1.30699,212763.52930000002
10.04.2013 17:00:00.000 GMT-0400,1.30698,1.31380,1.30436,1.31008,226620.7395
11.04.2013 17:00:00.000 GMT-0400,1.31007,1.31262,1.30384,1.31113,229963.2191
14.04.2013 17:00:00.000 GMT-0400,1.31141,1.31147,1.30220,1.30333,261596.11970000007
15.04.2013 17:00:00.000 GMT-0400,1.30347,1.32015,1.30292,1.31770,290312.9163
16.04.2013 17:00:00.000 GMT-0400,1.31769,1.31995,1.30011,1.30304,279878.64869999996
17.04.2013 17:00:00.000 GMT-0400,1.30305,1.30960,1.30208,1.30497,269377.4381
18.04.2013 17:00:00.000 GMT-0400,1.30494,1.31271,1.30458,1.30510,231028.12050000002
21.04.2013 17:00:00.000 GMT-0400,1.30760,1.30836,1.30154,1.30662,188094.4905
22.04.2013 17:00:00.000 GMT-0400,1.30662,1.30824,1.29730,1.29981,236915.15140000003
23.04.2013 17:00:00.000 GMT-0400,1.29991,1.30330,1.29611,1.30160,216236.4712
24.04.2013 17:00:00.000 GMT-0400,1.30160,1.30933,1.29894,1.30111,225446.41050000003
25.04.2013 17:00:00.000 GMT-0400,1.30111,1.30475,1.29912,1.30274,229532.6821
28.04.2013 17:00:00.000 GMT-0400,1.30504,1.31158,1.30318,1.30969,202016.4785
29.04.2013 17:00:00.000 GMT-0400,1.30971,1.31858,1.30557,1.31668,219244.28860000003
30.04.2013 17:00:00.000 GMT-0400,1.31666,1.32427,1.31606,1.31795,178316.06040000002
01.05.2013 17:00:00.000 GMT-0400,1.31795,1.32148,1.30384,1.30646,244827.67820000005
02.05.2013 17:00:00.000 GMT-0400,1.30646,1.31565,1.30351,1.31131,211202.20109999995
05.05.2013 17:00:00.000 GMT-0400,1.31188,1.31396,1.30534,1.30757,120583.20039999999
06.05.2013 17:00:00.000 GMT-0400,1.30757,1.31315,1.30677,1.30787,172132.99859999996
07.05.2013 17:00:00.000 GMT-0400,1.30787,1.31944,1.30726,1.31522,195343.72180000006
08.05.2013 17:00:00.000 GMT-0400,1.31530,1.31770,1.30098,1.30423,201317.75059999994
09.05.2013 17:00:00.000 GMT-0400,1.30423,1.30506,1.29350,1.29899,257493.79080000002
12.05.2013 17:00:00.000 GMT-0400,1.29724,1.29970,1.29415,1.29747,202047.76829999997
13.05.2013 17:00:00.000 GMT-0400,1.29748,1.30289,1.29181,1.29189,236730.26870000002
14.05.2013 17:00:00.000 GMT-0400,1.29187,1.29424,1.28430,1.28862,233497.75880000007
15.05.2013 17:00:00.000 GMT-0400,1.28862,1.29297,1.28463,1.28812,229344.31069999997
16.05.2013 17:00:00.000 GMT-0400,1.28812,1.28895,1.27960,1.28381,199322.92990000002
19.05.2013 17:00:00.000 GMT-0400,1.28421,1.29006,1.28192,1.28809,165960.6206
20.05.2013 17:00:00.000 GMT-0400,1.28811,1.29327,1.28410,1.29057,215876.8094
