Local time,Open,High,Low,Close,Volume
29.03.2012 17:00:00.000 GMT-0400,0.99637,0.99984,0.99525,0.99825,135571.9503
31.03.2012 17:00:00.000 GMT-0400,0.99825,0.99856,0.99825,0.99856,0
01.04.2012 17:00:00.000 GMT-0400,0.99558,0.99900,0.98881,0.99046,143115.8795
02.04.2012 17:00:00.000 GMT-0400,0.99041,0.99284,0.98880,0.99099,147993.52770000004
03.04.2012 17:00:00.000 GMT-0400,0.99099,0.99733,0.99006,0.99614,160075.8007
04.04.2012 17:00:00.000 GMT-0400,0.99614,0.99975,0.99067,0.99299,135394.8701
05.04.2012 17:00:00.000 GMT-0400,0.99299,0.99853,0.99162,0.99667,51707.4401
08.04.2012 17:00:00.000 GMT-0400,0.99695,1.00013,0.99440,0.99753,89932.7904
09.04.2012 17:00:00.000 GMT-0400,0.99748,1.00445,0.99499,1.00427,155331.8309
10.04.2012 17:00:00.000 GMT-0400,1.00436,1.00521,1.00080,1.00369,133907.22
11.04.2012 17:00:00.000 GMT-0400,1.00364,1.00416,0.99400,0.99416,140049.6811
12.04.2012 17:00:00.000 GMT-0400,0.99417,0.99951,0.99266,0.99951,148437.60960000003
15.04.2012 17:00:00.000 GMT-0400,0.99899,1.00323,0.99735,0.99921,151473.63899999997
16.04.2012 17:00:00.000 GMT-0400,0.99919,1.00111,0.98645,0.99014,157100.9117
17.04.2012 17:00:00.000 GMT-0400,0.99012,0.99234,0.98816,0.99106,156698.44040000002
18.04.2012 17:00:00.000 GMT-0400,0.99109,0.99633,0.98795,0.99555,166682.6702
19.04.2012 17:00:00.000 GMT-0400,0.99566,0.99589,0.98967,0.99223,136311.95890000003
22.04.2012 17:00:00.000 GMT-0400,0.99216,0.99784,0.99049,0.99110,145808.3207
23.04.2012 17:00:00.000 GMT-0400,0.99110,0.99288,0.98693,0.98694,145905.5307
24.04.2012 17:00:00.000 GMT-0400,0.98690,0.98798,0.98228,0.98314,143710.66120000003
25.04.2012 17:00:00.000 GMT-0400,0.98318,0.98467,0.98060,0.98423,141235.70050000004
26.04.2012 17:00:00.000 GMT-0400,0.98421,0.98696,0.97995,0.98036,143497.97049999997
29.04.2012 17:00:00.000 GMT-0400,0.98076,0.98941,0.98001,0.98716,126361.57089999998
30.04.2012 17:00:00.000 GMT-0400,0.98708,0.98973,0.98324,0.98561,98670.8004
01.05.2012 17:00:00.000 GMT-0400,0.98522,0.99024,0.98490,0.98613,125593.45829999998
02.05.2012 17:00:00.000 GMT-0400,0.98612,0.98919,0.98279,0.98818,129043.59939999998
03.05.2012 17:00:00.000 GMT-0400,0.98827,0.99628,0.98612,0.99579,133677.0796
06.05.2012 17:00:00.000 GMT-0400,0.99569,0.99870,0.99261,0.99305,137611.6608
07.05.2012 17:00:00.000 GMT-0400,0.99304,1.00221,0.99231,0.99849,148679.4796
08.05.2012 17:00:00.000 GMT-0400,0.99851,1.00620,0.99829,1.00257,162042.6687
09.05.2012 17:00:00.000 GMT-0400,1.00234,1.00307,0.99764,1.00198,146229.62
