,Close,MA10,MACD,ROC,Momentum,RSI,BOLU,BOLD,CCI,Inflation_Rate_EU,Inflation_Rate_USA,Interest_Rate_EU,Interest_Rate_GER,Funds_Rate_FED,Close_S&P500,Close_DAX
40,1.34461,1.321944,0.008373353,0.005639196,0.02132,74.32843438,1.336292269,1.302616065,227.3911185,2.7,2.2,4.01,1.85,0.12,1342.64,6692.959961
41,1.33966,1.32405,0.008943022,-0.003681365,0.01473,67.678963,1.339972287,1.301581713,179.6240569,2.7,2.2,4.01,1.85,0.12,1342.64,6692.959961
42,1.34606,1.327353,0.009797971,0.004777332,0.00899,71.3597539,1.343581889,1.301248778,173.1632223,2.7,2.2,4.01,1.85,0.12,1342.64,6692.959961
43,1.33238,1.329939,0.009264862,-0.010162994,-0.01223,56.16798574,1.345328906,1.301902427,106.2101469,2.7,2.2,4.01,1.85,0.12,1351.77,6738.470215
44,1.33112,1.331753,0.00864109,-0.000945676,-0.00854,54.97034818,1.346017252,1.302955748,54.53131404,2.7,2.2,4.01,1.85,0.12,1350.5,6728.189941
45,1.32003,1.332331,0.007169232,-0.00833133,-0.02603,45.48554269,1.345968548,1.304016785,-8.136918062,2.7,2.2,4.01,1.85,0.12,1343.23,6757.939941
46,1.32162,1.332077,0.006061205,0.001204518,-0.01076,46.94388166,1.345461109,1.305577891,-42.48459745,2.7,2.2,4.01,1.85,0.11,1358.04,6751.959961
47,1.31116,1.330864,0.004289603,-0.007914529,-0.01996,39.26579165,1.345618958,1.304827375,-86.35074299,2.7,2.2,4.01,1.85,0.09,1361.23,6848.029785
48,1.31491,1.329862,0.003151856,0.002860063,-0.00512,42.98074058,1.345633755,1.303613912,-86.04661929,2.7,2.2,4.01,1.85,0.09,1361.23,6848.029785
49,1.32741,1.328896,0.003221692,0.009506354,0.00579,53.51232147,1.34539548,1.303442854,-8.629795715,2.7,2.2,4.01,1.85,0.09,1361.23,6848.029785
50,1.31227,1.325662,0.002031942,-0.01140567,0.00111,42.85895384,1.345396959,1.302958375,-59.5638307,2.7,2.2,4.01,1.85,0.09,1361.23,6948.25
51,1.31549,1.323245,0.001333513,0.002453763,0.00058,45.42641054,1.345490417,1.301990249,-80.55263115,2.7,2.2,4.01,1.85,0.1,1362.21,6908.180176
52,1.30837,1.319476,0.000203136,-0.005412432,-0.01904,40.91025641,1.345662608,1.301484059,-94.36529138,2.7,2.2,4.01,1.85,0.08,1357.66,6843.870117
53,1.30318,1.316556,-0.001098819,-0.003966768,-0.00909,37.86162813,1.346187722,1.300402278,-136.2029153,2.7,2.2,4.01,1.85,0.08,1363.46,6809.459961
